# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 16 04:36:32 2025
#
# COLUMN kepid:          KepID
# COLUMN koi_name:       KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN pl_name:        Confirmed Name
#
rowid,kepid,koi_name,kepler_name,pl_name
2789,9735426,K01849.01,Kepler-979 b,Kepler-979 b
2790,2692377,K00299.01,Kepler-98 b,Kepler-98 b
2791,8826168,K01850.01,Kepler-980 b,Kepler-980 b
2792,10464050,K01851.01,Kepler-981 b,Kepler-981 b
2793,9763348,K01852.01,Kepler-982 b,Kepler-982 b
2794,8804397,K01853.01,Kepler-983 b,Kepler-983 b
2795,9662811,K01854.01,Kepler-984 b,Kepler-984 b
2796,8160953,K01858.01,Kepler-985 b,Kepler-985 b
2797,7286173,K01862.01,Kepler-986 b,Kepler-986 b
2798,9520838,K01866.01,Kepler-987 b,Kepler-987 b
2799,6773862,K01868.01,Kepler-988 b,Kepler-988 b
2800,10187159,K01870.01,Kepler-989 b,Kepler-989 b
2801,6063220,K00305.01,Kepler-99 b,Kepler-99 b
2802,9967771,K01875.01,Kepler-990 b,Kepler-990 b
2803,9967771,K01875.02,Kepler-990 c,Kepler-990 c
2804,11622600,K01876.01,Kepler-991 b,Kepler-991 b
2805,10454632,K01877.01,Kepler-992 b,Kepler-992 b
2806,8367644,K01879.01,Kepler-993 b,Kepler-993 b
2807,10332883,K01880.01,Kepler-994 b,Kepler-994 b
2808,4035640,K01881.01,Kepler-995 b,Kepler-995 b
2809,6205228,K01882.01,Kepler-996 b,Kepler-996 b
2810,11758544,K01883.01,Kepler-997 b,Kepler-997 b
2811,11413812,K01885.01,Kepler-998 b,Kepler-998 b
2812,9549648,K01886.01,Kepler-999 b,Kepler-999 b
